Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl,DDisc_AUC_200,DDisc_AUC_40K
186141,S500,Q04,M,31-35,true,false,false,0.22936355,0.38737
186444,S900,Q10,F,22-25,true,false,false,0.5041031,0.5484377
186545,S1200,Q13,F,31-35,true,false,false,0.19550937,0.31432313
186848,S1200,Q12,F,26-30,true,false,false,0.16855624,0.46380228
187345,S900,Q09,F,31-35,true,true,false,0.08860833,0.30364603
187547,S500,Q06,F,31-35,true,false,false,0.058920834,0.0170575
187850,S500,Q06,M,22-25,true,false,false,0.20162916,0.24166687
188145,S1200,Q12,F,31-35,true,false,false,0.37311354,0.83828145
188347,Q3,Q04,F,26-30,true,false,false,0.037566666,0.19791688
188448,S900,Q11,F,22-25,true,false,false,0.061525,0.20546895
188549,S900,Q08,M,22-25,true,false,false,0.029363541,0.10026062
188751,S900,Q10,M,26-30,true,false,false,0.22428542,0.48515645
189349,S500,Q05,F,26-30,true,false,false,0.09980625,0.21093771
189450,Q3,Q04,M,22-25,true,false,false,0.1474625,0.86640644
189652,S1200,Q13,M,26-30,true,false,false,0.32532707,0.4812502
190031,Q3,Q03,F,26-30,true,false,false,0.30175936,0.4531252
191033,S500,Q06,F,26-30,true,true,true,0.16178542,0.22812521
191235,S1200,Q10,M,22-25,true,false,false,0.28079584,0.2734377
191336,S500,Q04,M,26-30,true,true,false,0.22311354,0.5157554
191841,S500,Q04,F,26-30,true,true,false,0.23691562,0.75091165
191942,S900,Q11,M,26-30,true,false,false,0.18209791,0.31315124
192035,S900,Q07,F,26-30,true,false,false,0.39069167,0.33112
192136,S900,Q11,M,22-25,true,false,false,0.12480625,0.7031252
192237,S1200,Q11,F,31-35,true,false,false,0.1832698,0.9167971
192540,Q1,Q01,F,26-30,true,false,false,0.1099625,0.18125021
192641,MEG2,Q07,F,31-35,true,true,true,0.03730625,0.06406271
192843,S500,Q05,M,26-30,true,false,false,0.09524896,0.6165367
193239,Q2,Q02,F,26-30,true,false,false,0.21569167,0.09348979
193845,S1200,Q13,M,22-25,true,true,false,0.26517084,0.3813804
194140,Q1,Q01,F,26-30,true,false,false,0.12376458,0.29987
194443,S1200,Q12,M,26-30,true,false,false,0.38912916,0.20221375
194645,S500,Q06,M,26-30,true,false,false,0.053191666,0.41744813
194746,S900,Q07,M,31-35,true,false,false,0.25644687,0.8705731
194847,S500,Q04,F,31-35,true,false,false,0.19329584,0.8199221
195041,S500,Q07,F,31-35,true,true,false,0.16048333,0.3875002
195445,S900,Q09,F,26-30,true,false,false,0.22129062,0.72369814
195849,S500,Q05,M,22-25,true,false,false,0.7469417,0.9187502
195950,S900,Q10,M,26-30,true,false,false,0.17988437,0.40416688
196144,Q2,Q02,F,31-35,true,true,false,0.17168126,0.42135438
196346,S900,Q11,M,26-30,true,false,false,0.027019791,0.032031458
196750,Q3,Q03,F,26-30,true,false,false,0.27819166,0.4750002
197348,S500,Q06,F,26-30,true,true,false,0.12233229,0.5957033
198047,S1200,Q13,F,26-30,true,false,false,0.35905105,0.6520835
198249,S900,Q08,M,26-30,true,false,false,0.1162125,0.35091168
198350,S500,Q05,M,31-35,true,false,false,0.27011874,0.39075541
198451,Q3,Q03,M,26-30,true,false,false,0.0818375,0.1390627
198653,S900,Q10,M,22-25,true,true,true,0.33392084,0.58567727
198855,S500,Q05,M,26-30,true,false,false,0.11829583,0.83684915
199150,Q1,Q01,F,26-30,true,false,false,0.22168125,0.08476584
199352,S1200,Q12,F,22-25,true,false,false,0.24850416,0.6218752
199453,S500,Q05,M,22-25,true,false,false,0.11035313,0.36328146
199655,Q3,Q03,M,31-35,true,true,false,0.20293126,0.646745
199958,S500,Q05,M,31-35,true,false,false,0.09772292,0.1733075
